file,truth,pred_label,pred_prob,p_Positive,p_Negative
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00531.jpg,negative,Negative,0.9999591112136841,4.084465035703033e-05,0.9999591112136841
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00532.jpg,negative,Negative,1.0,1.6862120205797693e-21,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00533.jpg,negative,Negative,0.9999434947967529,5.654785127262585e-05,0.9999434947967529
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00534.jpg,negative,Negative,1.0,4.603770164569865e-13,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00535.jpg,negative,Negative,0.9999120235443115,8.798108319751918e-05,0.9999120235443115
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00536.jpg,negative,Negative,0.9999990463256836,8.964538551481382e-07,0.9999990463256836
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00537.jpg,negative,Negative,1.0,1.2041265337256468e-12,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00538.jpg,negative,Negative,1.0,6.159105843544263e-16,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00539.jpg,negative,Negative,0.6287985444068909,0.37120145559310913,0.6287985444068909
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00540.jpg,negative,Negative,1.0,8.457438689876977e-18,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00541.jpg,negative,Negative,1.0,9.2345327619512e-15,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00542.jpg,negative,Negative,1.0,6.475296687735721e-11,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00543.jpg,negative,Negative,1.0,4.2472691759009445e-14,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00558.jpg,negative,Negative,1.0,4.6437641656041156e-17,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00559.jpg,negative,Negative,0.9998884201049805,0.00011151177750434726,0.9998884201049805
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00560.jpg,negative,Negative,1.0,2.1858083574080226e-16,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00561.jpg,negative,Negative,0.9999996423721313,4.02093974116724e-07,0.9999996423721313
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00562.jpg,negative,Negative,1.0,4.6092596406310804e-10,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00563.jpg,negative,Negative,1.0,1.2240427560428202e-09,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00564.jpg,negative,Negative,0.9999997615814209,1.849254118724275e-07,0.9999997615814209
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00565.jpg,negative,Negative,1.0,1.2195984239876667e-13,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00566.jpg,negative,Negative,1.0,2.7950523673325733e-08,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00567.jpg,negative,Negative,1.0,7.3781577339340095e-22,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00568.jpg,negative,Negative,1.0,9.438050552710628e-18,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00569.jpg,negative,Negative,1.0,9.525232775382982e-15,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00570.jpg,negative,Negative,0.9999996423721313,3.644559853910323e-07,0.9999996423721313
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00581.jpg,negative,Negative,0.9998676776885986,0.00013229504111222923,0.9998676776885986
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00582.jpg,negative,Negative,1.0,5.279618520148688e-09,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00585.jpg,negative,Negative,1.0,1.6525798785744532e-24,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00586.jpg,negative,Negative,0.9998506307601929,0.00014931523764971644,0.9998506307601929
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00587.jpg,negative,Negative,0.9999985694885254,1.4289699947767076e-06,0.9999985694885254
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00588.jpg,negative,Negative,1.0,7.370726916642317e-23,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00589.jpg,negative,Negative,1.0,3.254381078364381e-19,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00590.jpg,negative,Negative,1.0,8.775444140469926e-18,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00591.jpg,negative,Negative,1.0,1.2309704850495956e-13,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00592.jpg,negative,Negative,1.0,9.99322220568595e-14,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00593.jpg,negative,Negative,1.0,3.9124845030436006e-10,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00594.jpg,negative,Negative,1.0,7.390931616724217e-11,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00595.jpg,negative,Negative,1.0,2.833836030419201e-12,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00596.jpg,negative,Negative,1.0,1.996480975788395e-17,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00597.jpg,negative,Negative,1.0,9.9843032439075e-22,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00598.jpg,negative,Negative,1.0,1.3008404202180957e-14,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00609.jpg,negative,Positive,0.9984082579612732,0.9984082579612732,0.0015917298151180148
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00612.jpg,negative,Negative,0.9999958276748657,4.227693352731876e-06,0.9999958276748657
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00613.jpg,negative,Negative,1.0,7.95919663509892e-10,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00614.jpg,negative,Negative,1.0,4.77097042428376e-11,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00615.jpg,negative,Negative,0.9999954700469971,4.547891876427457e-06,0.9999954700469971
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00616.jpg,negative,Negative,0.9999998807907104,1.2525860881851258e-07,0.9999998807907104
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00617.jpg,negative,Negative,1.0,1.1334732319943398e-14,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00622.jpg,negative,Negative,1.0,4.5513058871998784e-17,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00623.jpg,negative,Negative,1.0,9.275583181418475e-17,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00624.jpg,negative,Negative,1.0,2.567382695328746e-10,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00625.jpg,negative,Negative,0.9996471405029297,0.0003528792003635317,0.9996471405029297
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00635.jpg,negative,Negative,0.9987508058547974,0.0012491857632994652,0.9987508058547974
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00636.jpg,negative,Negative,1.0,2.7594122542495825e-09,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00637.jpg,negative,Negative,1.0,1.3733424120143667e-11,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00638.jpg,negative,Negative,0.9999988079071045,1.2348488098723465e-06,0.9999988079071045
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00639.jpg,negative,Negative,1.0,3.009902016515298e-08,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00640.jpg,negative,Negative,1.0,1.8877041596532251e-10,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00641.jpg,negative,Negative,0.9999995231628418,5.074487035017228e-07,0.9999995231628418
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00642.jpg,negative,Negative,1.0,1.3718568503406914e-09,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00643.jpg,negative,Negative,1.0,2.0793279885454943e-14,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00648.jpg,negative,Negative,1.0,3.3742317317010706e-22,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00649.jpg,negative,Negative,1.0,2.1718985691359345e-20,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00650.jpg,negative,Negative,0.9995941519737244,0.000405836763093248,0.9995941519737244
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00660.jpg,negative,Negative,0.9994286894798279,0.000571231241337955,0.9994286894798279
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00661.jpg,negative,Negative,1.0,7.532612866789634e-10,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00662.jpg,negative,Negative,1.0,3.66970030751812e-11,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00663.jpg,negative,Negative,1.0,3.1690527452885906e-19,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00664.jpg,negative,Negative,0.9999998807907104,1.382480547817977e-07,0.9999998807907104
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00665.jpg,negative,Negative,0.9995957016944885,0.00040428759530186653,0.9995957016944885
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00666.jpg,negative,Negative,1.0,2.250734321140868e-11,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00667.jpg,negative,Negative,0.9999321699142456,6.782624404877424e-05,0.9999321699142456
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00668.jpg,negative,Negative,1.0,1.8761531217492688e-10,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00001.jpg,negative,Negative,1.0,1.1008409589746226e-20,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00002.jpg,negative,Negative,1.0,2.9948547304202086e-14,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00003.jpg,negative,Negative,1.0,1.1007519257254326e-14,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00004.jpg,negative,Negative,0.7095067501068115,0.29049330949783325,0.7095067501068115
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00005.jpg,negative,Positive,0.552238941192627,0.552238941192627,0.44776105880737305
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00006.jpg,negative,Negative,0.9999995231628418,4.3895130374949076e-07,0.9999995231628418
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00007.jpg,negative,Negative,0.9999973773956299,2.627668436616659e-06,0.9999973773956299
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00008.jpg,negative,Negative,1.0,1.844296493302977e-09,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00009.jpg,negative,Positive,0.9999921321868896,0.9999921321868896,7.919082236185204e-06
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00010.jpg,negative,Negative,0.9907369017601013,0.009263088926672935,0.9907369017601013
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00011.jpg,negative,Negative,1.0,1.0439815678608966e-10,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00012.jpg,negative,Negative,1.0,1.6014730172750889e-16,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00013.jpg,negative,Positive,1.0,1.0,3.4347924504629646e-09
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00014.jpg,negative,Negative,0.999362051486969,0.000637941702734679,0.999362051486969
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00015.jpg,negative,Positive,0.9368503093719482,0.9368503093719482,0.06314977258443832
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00016.jpg,negative,Negative,0.9999347925186157,6.51820155326277e-05,0.9999347925186157
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00017.jpg,negative,Negative,0.9999946355819702,5.308487288857577e-06,0.9999946355819702
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00018.jpg,negative,Positive,0.994407057762146,0.994407057762146,0.005592925939708948
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00019.jpg,negative,Positive,0.9997621178627014,0.9997621178627014,0.00023782793141435832
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00020.jpg,negative,Positive,0.9999910593032837,0.9999910593032837,8.884333510650322e-06
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00021.jpg,negative,Negative,1.0,6.8621815180061954e-15,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00022.jpg,negative,Negative,0.999990701675415,9.269702786696143e-06,0.999990701675415
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00023.jpg,negative,Positive,1.0,1.0,2.3734472165415355e-08
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00024.jpg,negative,Negative,0.9999998807907104,1.117670080930111e-07,0.9999998807907104
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00025.jpg,negative,Positive,1.0,1.0,1.0528562049971768e-10
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00026.jpg,negative,Negative,0.9999654293060303,3.4523618523962796e-05,0.9999654293060303
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00027.jpg,negative,Negative,1.0,4.076377430051181e-11,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00028.jpg,negative,Negative,0.9992959499359131,0.0007039891788735986,0.9992959499359131
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00029.jpg,negative,Negative,0.9999996423721313,3.770413172787812e-07,0.9999996423721313
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00030.jpg,negative,Negative,0.9988573789596558,0.0011426329147070646,0.9988573789596558
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00031.jpg,negative,Positive,0.9983780384063721,0.9983780384063721,0.0016219954704865813
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00032.jpg,negative,Negative,1.0,1.858497819755567e-18,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00033.jpg,negative,Positive,1.0,1.0,1.9062419198689895e-08
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00034.jpg,negative,Positive,0.9999383687973022,0.9999383687973022,6.162191857583821e-05
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00035.jpg,negative,Positive,0.9938421249389648,0.9938421249389648,0.006157901603728533
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00036.jpg,negative,Negative,1.0,5.569573162186536e-17,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00037.jpg,negative,Negative,0.9998515844345093,0.00014838020433671772,0.9998515844345093
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00038.jpg,negative,Negative,0.9985657334327698,0.0014343303628265858,0.9985657334327698
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00039.jpg,negative,Negative,0.9999996423721313,3.131941070932953e-07,0.9999996423721313
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00040.jpg,negative,Negative,1.0,2.0645452014633747e-09,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00041.jpg,negative,Negative,0.9944003224372864,0.005599666386842728,0.9944003224372864
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00042.jpg,negative,Positive,0.9998719692230225,0.9998719692230225,0.00012802881246898323
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00043.jpg,negative,Negative,1.0,2.303703716677319e-08,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00044.jpg,negative,Negative,1.0,8.169979466846283e-25,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00045.jpg,negative,Negative,1.0,9.373512233870791e-16,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00046.jpg,negative,Negative,1.0,6.928575009730598e-14,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00047.jpg,negative,Negative,0.9999995231628418,4.316052013564331e-07,0.9999995231628418
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00048.jpg,negative,Positive,0.9932065010070801,0.9932065010070801,0.006793563719838858
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00049.jpg,negative,Positive,0.9999030828475952,0.9999030828475952,9.69505199464038e-05
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00050.jpg,negative,Negative,0.9999995231628418,5.176191280042985e-07,0.9999995231628418
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00051.jpg,negative,Positive,1.0,1.0,5.470573438692838e-10
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00052.jpg,negative,Negative,1.0,1.1722411507198577e-13,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00053.jpg,negative,Negative,0.9999332427978516,6.680342630716041e-05,0.9999332427978516
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00054.jpg,negative,Negative,1.0,3.2475782063556835e-08,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00055.jpg,negative,Negative,0.9985218644142151,0.0014781294157728553,0.9985218644142151
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00056.jpg,negative,Negative,0.9995226860046387,0.0004773469700012356,0.9995226860046387
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00057.jpg,negative,Negative,0.998665452003479,0.001334553468041122,0.998665452003479
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00058.jpg,negative,Positive,0.9410070180892944,0.9410070180892944,0.05899297446012497
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00059.jpg,negative,Negative,0.9999998807907104,8.457610078949074e-08,0.9999998807907104
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00060.jpg,negative,Negative,1.0,2.0769713734796434e-16,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00061.jpg,negative,Negative,0.9987086057662964,0.0012913609389215708,0.9987086057662964
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00062.jpg,negative,Negative,1.0,7.185846362389725e-10,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00063.jpg,negative,Negative,1.0,1.0075607015380683e-11,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00064.jpg,negative,Negative,0.997986912727356,0.002013034885749221,0.997986912727356
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00065.jpg,negative,Negative,1.0,2.631036122476005e-13,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00066.jpg,negative,Negative,1.0,6.7201786670134656e-12,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00067.jpg,negative,Negative,1.0,8.163032472197074e-10,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00068.jpg,negative,Negative,1.0,1.4949306237355131e-09,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00069.jpg,negative,Negative,1.0,2.3285152418722985e-21,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00070.jpg,negative,Negative,0.9999997615814209,2.6543307285464834e-07,0.9999997615814209
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/248079230__00071.jpg,negative,Negative,0.9999473094940186,5.263931961962953e-05,0.9999473094940186
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/251424471__00121.jpg,negative,Negative,1.0,1.8094522662793693e-32,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/251424471__00122.jpg,negative,Negative,1.0,1.590683363636535e-32,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/251424471__00123.jpg,negative,Negative,1.0,5.060158760445157e-32,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/251424471__00124.jpg,negative,Negative,1.0,3.230781069927818e-26,1.0
